hh_id,share_energy,share_food,share_goods,share_services
139,0.293258700413726,0.042565100997809684,0.3832927719639815,0.28088342662448285
140,0.35774975404704407,0.07056613898577944,0.29402557910741434,0.2776585278597621
141,0.16491183559558545,0.03836103006469618,0.6584549029557275,0.13827223138399086
142,0.29114971050454924,0.05783291976840364,0.2501240694789082,0.40089330024813896
143,0.18277525954086854,0.05417458692791344,0.40967246673490276,0.35337768679631526
144,0.270803512708422,0.03889899028975976,0.5616658284653178,0.12863166853650043
145,0.12175324675324675,0.3425324675324675,0.349025974025974,0.18668831168831168
146,0.027885548011639186,0.08705140640155189,0.36069350145489815,0.34250727449078566
147,0.02471821237888076,0.216828158987542,0.184496737195966,0.4256476171643267
148,0.30984777044321704,0.13202209349319682,0.3021689343931025,0.08082985315910009
149,0.5298536971134836,0.1480427046263345,0.1317516805061289,0.08754448398576513
150,0.038624377924682464,0.07791725469806135,0.2549951719527594,0.5170467206417589
151,0.359656981953155,0.1109688979905286,0.20030718034045822,0.23307308332266735
152,0.24118009983734365,0.1248527679623086,0.20679791351169444,0.3542543047843401
153,0.22679410335331282,0.15454398185647172,0.1572979102543334,0.21837032237161833
154,0.1265946051222125,0.18930762489044697,0.1265946051222125,0.5575031648651281
155,0.015262059616468402,0.006787199366365589,0.025537294563843238,0.9524134464533228
156,0.13874455322795312,0.09821509963718573,0.5314955605389342,0.231544786595927
157,0.08213927169845761,0.23373186091083326,0.27197225517933743,0.41215661221137173
158,0.2964568254502609,0.09375526005722942,0.3124473994277058,0.25526005722942263
159,0.1534825741442892,0.13125227237313666,0.29057809172596477,0.42468706175660936
160,0.011260415884693342,0.10171909015839652,0.1839201261166579,0.7031003678402522
161,0.25890637945318973,0.10325186412593207,0.22535211267605634,0.4124896437448219
162,0.1478369125427949,0.07924836601307189,0.5545051353874884,0.21840958605664487
163,0.3634533661373295,0.034975397002907624,0.31536569000223663,0.2862055468575263
164,0.032362459546925564,0.17756202804746493,0.21035598705501618,0.48263214670981663
165,0.02280501710376283,0.06955530216647662,0.18602378237497963,0.5587229190421893
166,0.22791157031071943,0.23596444579503154,0.2463724075058877,0.285953050216516
167,0.2097390913180387,0.14378092667566353,0.32849752586594694,0.31517094017094016
168,0.19482952416635443,0.17527163731734732,0.33653053578119146,0.2933683027351068
169,0.07446940548591287,0.23056555376277357,0.2951884489677713,0.39770799718671135
170,0.15959144589849983,0.4471752314075966,0.2872646026172997,0.09000957548675391
171,0.09043927648578812,0.276916451335056,0.38931955211024977,0.23794142980189492
172,0.1575824990730441,0.21863799283154123,0.27839574836237796,0.34229390681003585
173,0.23958927552766685,0.10496292070735881,0.35630347974900173,0.29914432401597263
174,0.12254901960784313,0.283578431372549,0.2549019607843137,0.33897058823529413
175,0.0493339911198816,0.2082881105081401,0.3971386285150469,0.3403058707449433
176,0.175284837861525,0.3768624014022787,0.175284837861525,0.26380368098159507
177,0.099535500995355,0.4110816191108162,0.33178500331785005,0.14100862641008627
178,0.15821129707112971,0.13933926080892609,0.42407601115760113,0.2761942119944212
179,0.1403663735166481,0.1713967510273052,0.43333077307116247,0.2549061023848842
180,0.22294063313460408,0.1910319926106306,0.17234864388277774,0.41367873037198755
181,0.06484149855907781,0.18908101184758244,0.4568523855267371,0.2892251040666026
182,0.0926865356161488,0.3292115831748045,0.24550834918621856,0.33259353202282815
183,0.10797809733381096,0.29502072565375365,0.4068369070160176,0.19016426999641778
184,0.1141005150062156,0.2266471319481442,0.32676256437577694,0.3324897886698633
185,0.1302638592750533,0.22917777185501065,0.4744136460554371,0.16614472281449894
186,0.07577397705130981,0.24323446633470447,0.29854946958216066,0.3824420870318251
187,0.1029336078229542,0.5651055069480185,0.0939269171384457,0.23803396809058158
188,0.344976282880552,0.1806813281586891,0.344976282880552,0.129366106080207
189,0.6033789219629928,0.1139715741485653,0.24027889514615178,0.04237060874229016
190,0.09858692080184028,0.36477160696680905,0.4436411436082813,0.09300032862306934
191,0.11762399529504018,0.18205580605110108,0.11122002221786578,0.45840684833039275
192,0.21767522855899,0.2853722246408359,0.087070091423596,0.40988245537657814
193,0.12737694477299608,0.20243835865708307,0.3562005277044855,0.31398416886543534
194,0.20170948791003757,0.11918509366884344,0.36917879024734623,0.3099266281737727
195,0.11649789407653016,0.18227439734743256,0.2953669683663411,0.13701944618693432
196,0.06611133148221605,0.04460311164000176,0.16532240292652828,0.5917404909868218
197,0.2783474948725461,0.2319074128332845,0.37283914444769994,0.11690594784646938
198,0.20072260136491368,0.17519068647129668,0.37587314331593735,0.24821356884785226
199,0.021965952773201538,0.10763316858868753,0.3734211971444261,0.49697968149368477
200,0.3180250107805088,0.13079452350150927,0.2513745148771022,0.15157395429064252
201,0.19851116625310175,0.1401157981803143,0.15583126550868487,0.22983181692859112
202,0.18572861335017274,0.10616247539095873,0.16700716912447533,0.5411017421343932
