hh_id,hh_expenditures_0,hh_expenditures_0_pc,hh_weights,urban,hh_size,Income_Group_5,Income_Group_10,hh_expenditures_USD_pc,expenditures,share_ely,Urban
193252,228683.28571428577,57170.82142857144,6882.25,2,4,5,10,820.8419565043496,2400,0.010494864075892858,Urban
193285,1636788.2142857143,409197.0535714286,6882.25,2,4,5,10,5875.131783247837,4632,0.002829932400277809,Urban
193330,215625.2071428571,53906.30178571428,6882.25,2,4,5,10,773.9709369224867,3000,0.013913030112534221,Urban
205036,283033.0428571428,47172.1738095238,911.919982910156,2,6,5,9,677.2842942400293,3012,0.010641867004624854,Urban
205073,86106.71428571429,28702.238095238095,911.919982910156,2,3,4,7,412.09835166675896,1764,0.02048620731417991,Urban
205138,127577.17857142861,31894.294642857152,911.919982910156,2,4,4,8,457.9289672910904,1500,0.011757588753698388,Urban
205186,203683.62142857147,67894.5404761905,911.919982910156,2,3,5,10,974.8099825724776,2076,0.010192277540234227,Urban
207012,156948.04285714283,52316.01428571428,911.919982910156,2,3,5,10,751.138053464002,3000,0.019114605989261416,Urban
207066,316697.5714285714,52782.92857142857,911.919982910156,2,6,5,10,757.8418724092029,11940,0.03770158371010107,Urban
207135,154126.35714285713,38531.58928571428,911.919982910156,2,4,5,9,553.2253052551262,5400,0.03503618784031099,Urban
210025,43424.071428571435,10856.017857142859,3115.60009765625,1,4,1,2,155.86753373548592,0,0,Rural
236127,162674.8571428572,32534.971428571436,3115.60009765625,1,5,4,8,467.1276174614343,1704,0.010474882412243878,Rural
236183,185856.77857142861,30976.12976190477,3115.60009765625,1,6,4,8,444.74622409373814,1776,0.009555745093889305,Rural
237121,231259.89285714287,57814.97321428572,3115.60009765625,1,4,5,10,830.0904997097692,0,0,Rural
239140,376246.89285714284,37624.68928571428,3115.60009765625,1,10,5,9,540.2042999284165,0,0,Rural
245032,31042.892857142862,15521.446428571431,3115.60009765625,1,2,2,3,222.85239455801852,1200,0.03865619114566135,Rural
245035,140458.49999999994,28091.69999999999,3115.60009765625,1,5,4,7,403.3324240118306,3600,0.025630346330054794,Rural
245115,218263.71428571432,36377.28571428572,3115.60009765625,1,6,5,9,522.2944437721391,3000,0.013744840775837354,Rural
246026,165528.28571428574,27588.047619047622,3115.60009765625,1,6,4,7,396.1011302250947,4416,0.026678219864019782,Rural
246051,155091.92857142858,22155.98979591837,3115.60009765625,1,7,3,6,318.10923051182886,2400,0.015474693119794849,Rural
246106,49541.428571428565,24770.714285714283,3115.60009765625,1,2,4,7,355.6506810681314,1200,0.024222151734479083,Rural
246144,74302.57142857142,37151.28571428571,3115.60009765625,1,2,5,9,533.40730971422,2400,0.032300362610023114,Rural
246178,279616,34952,3115.60009765625,1,8,4,8,501.8306077617769,6000,0.021457999542229343,Rural
246186,148591.8571428572,37147.9642857143,3115.60009765625,1,4,5,9,533.3596216128631,6000,0.04037906326341665,Rural
246189,131017.57142857139,32754.392857142848,3115.60009765625,1,4,4,8,470.27800624765393,2400,0.01831815361734468,Rural
246200,169530.14285714284,56510.04761904761,3115.60009765625,1,3,5,10,811.3547591357752,3600,0.02123516172008181,Rural
248014,171080.7142857143,42770.17857142857,911.919982910156,2,4,5,9,614.0817322779734,2640,0.015431312705364636,Urban
248017,173702.78571428574,34740.55714285715,911.919982910156,2,5,4,8,498.7947729738711,0,0,Urban
248034,247222.07142857142,41203.67857142857,911.919982910156,2,6,5,9,591.5903827970046,2400,0.009707871089873218,Urban
248039,233497.35714285713,46699.47142857143,911.919982910156,2,5,5,9,670.4973715138973,4800,0.02055697785505679,Urban
248068,100273.85714285713,20054.771428571425,911.919982910156,2,5,3,5,287.94055088474244,0,0,Urban
248097,139842.2857142857,34960.57142857143,911.919982910156,2,4,4,8,501.9536738297955,0,0,Urban
248116,500140.0714285714,125035.01785714286,911.919982910156,2,4,5,10,1795.2162681035313,3000,0.005998319613605389,Urban
248127,198047.57142857142,33007.92857142857,911.919982910156,2,6,4,8,473.91819798458806,3600,0.018177450872193045,Urban
248142,347516.14285714284,115838.71428571428,911.919982910156,2,3,5,10,1663.1784273387166,3900,0.011222500249731463,Urban
248161,135786.92857142855,45262.30952380952,911.919982910156,2,3,5,9,649.8630206292914,3600,0.026512124825816923,Urban
248176,162956.85714285713,54318.952380952374,911.919982910156,2,3,5,10,779.8956536483277,3600,0.022091736813775426,Urban
248214,358846.5714285714,35884.65714285714,911.919982910156,2,10,4,8,515.2214266228824,3600,0.010032142666623141,Urban
248235,411676.5714285715,102919.14285714287,911.919982910156,2,4,5,10,1477.682994115391,6000,0.014574548119605681,Urban
248236,82900.28571428572,82900.28571428572,911.919982910156,2,1,5,10,1190.2580900556466,3000,0.03618805380646628,Urban
251013,57313.57142857141,14328.392857142853,3115.60009765625,1,4,2,3,205.72287982803562,1800,0.031406174055010665,Rural
251049,85265.50000000004,21316.37500000001,3115.60009765625,1,4,3,6,306.0542864937043,1920,0.02251789997126621,Rural
251065,82956.07142857143,16591.214285714286,3115.60009765625,1,5,2,4,238.21180900966684,2640,0.03182407212078682,Rural
251075,96482.57142857143,19296.514285714286,3115.60009765625,1,5,3,5,277.053716287589,1200,0.012437479455949111,Rural
251081,91871.21428571429,18374.242857142857,3115.60009765625,1,5,3,5,263.8120124788993,1440,0.015674115240511367,Rural
251118,74702.35714285717,24900.785714285725,3115.60009765625,1,3,4,7,357.5182086503141,0,0,Rural
251142,47242.64285714284,15747.547619047613,3115.60009765625,1,3,2,4,226.09868941474554,0,0,Rural
251148,319674.21428571426,35519.35714285714,3115.60009765625,1,9,4,8,509.97655591404236,4200,0.013138375922451408,Rural
251155,45117.28571428572,15039.095238095239,3115.60009765625,1,3,2,3,215.9269370428181,0,0,Rural
251173,48642.35714285712,12160.58928571428,3115.60009765625,1,4,1,2,174.59818928791915,0,0,Rural
251175,61350.642857142855,6816.738095238095,3115.60009765625,1,9,1,1,97.87273464426043,0,0,Rural
252030,93987.64285714288,18797.52857142858,3115.60009765625,1,5,3,5,269.8894251378854,0,0,Rural
303147,52486.642857142804,26243.321428571402,3115.60009765625,1,2,4,7,376.7939443290127,0,0,Rural
326048,186751.64285714287,62250.547619047626,3115.60009765625,1,3,5,10,893.7751815395429,2040,0.010923598683201486,Rural
326060,115164.64285714281,28791.160714285703,3115.60009765625,1,4,4,8,413.3750766599047,1440,0.012503837673393067,Rural
326116,85112.1428571428,28370.714285714264,3115.60009765625,1,3,4,7,407.33842963594975,0,0,Rural
342028,149399.6785714286,24899.946428571435,914.969970703125,2,6,4,7,357.50615843115384,4800,0.03212858317968268,Urban
342153,300800.98214285704,50133.497023809505,914.969970703125,2,6,5,9,719.8021080533748,14400,0.047872184117939885,Urban
342156,344560.16071428574,57426.693452380954,914.969970703125,2,6,5,10,824.5156922910732,9888,0.028697455850675877,Urban
403018,191252.8214285714,47813.20535714285,914.969970703125,2,4,5,9,686.4880379781885,3360,0.017568368272438187,Urban
403132,178464.64285714287,59488.21428571429,914.969970703125,2,3,5,10,854.1144063190325,2100,0.011767036687939388,Urban
403169,164819.5357142857,82409.76785714286,914.969970703125,2,2,5,10,1183.2153779256394,4200,0.025482416157758692,Urban
403226,218162.42857142858,36360.40476190476,914.969970703125,2,6,5,9,522.0520719881802,1800,0.008250733234804736,Urban
403234,234053.6785714285,46810.7357142857,914.969970703125,2,5,5,9,672.0948716318353,1800,0.007690543515429842,Urban
